,股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,贵州茅台,600519,2022-09-01 09:35,1912.15,1904.99,1916.0,1898.0,2942,560720882.0,0.94,-0.99,-19.01,0.02
1,贵州茅台,600519,2022-09-01 09:40,1904.99,1900.55,1905.8,1895.01,1415,268776169.0,0.57,-0.23,-4.44,0.01
2,贵州茅台,600519,2022-09-01 09:45,1900.55,1908.4,1908.4,1896.2,770,146270868.0,0.64,0.41,7.85,0.01
3,贵州茅台,600519,2022-09-01 09:50,1909.0,1900.81,1910.88,1900.3,614,117178586.0,0.55,-0.4,-7.59,0.0
4,贵州茅台,600519,2022-09-01 09:55,1900.21,1900.45,1902.0,1898.0,672,127708210.0,0.21,-0.02,-0.36,0.01
5,贵州茅台,600519,2022-09-01 10:00,1900.45,1901.01,1901.9,1896.92,474,90010920.0,0.26,0.03,0.56,0.0
6,贵州茅台,600519,2022-09-01 10:05,1902.56,1899.97,1903.2,1899.97,646,122814663.0,0.17,-0.05,-1.04,0.01
7,贵州茅台,600519,2022-09-01 10:10,1900.0,1900.0,1902.0,1899.0,1019,193639786.0,0.16,0.0,0.03,0.01
8,贵州茅台,600519,2022-09-01 10:15,1900.0,1901.73,1901.9,1899.46,385,73096280.0,0.13,0.09,1.73,0.0
9,贵州茅台,600519,2022-09-01 10:20,1901.73,1898.98,1901.73,1898.98,352,66865505.0,0.14,-0.14,-2.75,0.0
10,贵州茅台,600519,2022-09-01 10:25,1898.99,1897.88,1900.0,1897.88,306,58110232.0,0.11,-0.06,-1.1,0.0
11,贵州茅台,600519,2022-09-01 10:30,1898.0,1896.66,1898.0,1896.22,298,56456885.0,0.09,-0.06,-1.22,0.0
12,贵州茅台,600519,2022-09-01 10:35,1896.66,1896.09,1898.63,1895.1,507,96120415.0,0.19,-0.03,-0.57,0.0
13,贵州茅台,600519,2022-09-01 10:40,1896.09,1897.22,1900.0,1896.09,366,69496409.0,0.21,0.06,1.13,0.0
14,贵州茅台,600519,2022-09-01 10:45,1897.22,1898.5,1900.0,1897.22,245,46524182.0,0.15,0.07,1.28,0.0
15,贵州茅台,600519,2022-09-01 10:50,1898.5,1899.2,1902.09,1898.5,298,56624980.0,0.19,0.04,0.7,0.0
16,贵州茅台,600519,2022-09-01 10:55,1899.2,1897.01,1900.08,1897.01,191,36270001.0,0.16,-0.12,-2.19,0.0
17,贵州茅台,600519,2022-09-01 11:00,1897.01,1896.01,1897.98,1896.0,202,38318973.0,0.1,-0.05,-1.0,0.0
18,贵州茅台,600519,2022-09-01 11:05,1896.0,1895.19,1897.25,1895.11,304,57683731.0,0.11,-0.04,-0.82,0.0
19,贵州茅台,600519,2022-09-01 11:10,1895.1,1897.03,1897.03,1895.01,270,51141151.0,0.11,0.1,1.84,0.0
20,贵州茅台,600519,2022-09-01 11:15,1897.03,1896.0,1899.83,1895.3,259,49117664.0,0.24,-0.05,-1.03,0.0
21,贵州茅台,600519,2022-09-01 11:20,1896.0,1898.07,1898.1,1895.5,199,37737389.0,0.14,0.11,2.07,0.0
22,贵州茅台,600519,2022-09-01 11:25,1898.11,1900.0,1900.0,1896.0,276,52383234.0,0.21,0.1,1.93,0.0
23,贵州茅台,600519,2022-09-01 11:30,1899.86,1899.99,1900.65,1896.11,276,52324840.0,0.24,0.0,-0.01,0.0
24,贵州茅台,600519,2022-09-01 13:05,1899.99,1893.96,1899.99,1890.0,2079,393719288.0,0.53,-0.32,-6.03,0.02
25,贵州茅台,600519,2022-09-01 13:10,1893.95,1888.66,1893.95,1888.0,607,114730827.0,0.31,-0.28,-5.3,0.0
26,贵州茅台,600519,2022-09-01 13:15,1889.76,1891.4,1892.88,1888.79,344,65046764.0,0.22,0.15,2.74,0.0
27,贵州茅台,600519,2022-09-01 13:20,1891.0,1890.99,1894.9,1890.0,324,61281089.0,0.26,-0.02,-0.41,0.0
28,贵州茅台,600519,2022-09-01 13:25,1891.0,1891.04,1895.0,1890.0,547,103344902.0,0.26,0.0,0.05,0.0
29,贵州茅台,600519,2022-09-01 13:30,1891.04,1894.06,1894.99,1890.1,397,75152588.0,0.26,0.16,3.02,0.0
30,贵州茅台,600519,2022-09-01 13:35,1894.1,1898.47,1900.0,1894.1,384,72886596.0,0.31,0.23,4.41,0.0
31,贵州茅台,600519,2022-09-01 13:40,1898.5,1899.5,1899.55,1896.14,197,37436427.0,0.18,0.05,1.03,0.0
32,贵州茅台,600519,2022-09-01 13:45,1899.5,1899.68,1900.0,1896.43,308,58481491.0,0.19,0.01,0.18,0.0
33,贵州茅台,600519,2022-09-01 13:50,1899.68,1899.66,1901.0,1898.06,403,76532133.0,0.15,0.0,-0.02,0.0
34,贵州茅台,600519,2022-09-01 13:55,1900.0,1893.97,1900.0,1893.97,241,45698973.0,0.32,-0.3,-5.69,0.0
35,贵州茅台,600519,2022-09-01 14:00,1893.97,1891.43,1893.97,1890.38,437,82658276.0,0.19,-0.13,-2.54,0.0
36,贵州茅台,600519,2022-09-01 14:05,1892.0,1890.27,1895.5,1890.01,466,88143730.0,0.29,-0.06,-1.16,0.0
37,贵州茅台,600519,2022-09-01 14:10,1890.26,1891.08,1892.0,1890.26,425,80366615.0,0.09,0.04,0.81,0.0
38,贵州茅台,600519,2022-09-01 14:15,1891.0,1890.4,1891.11,1890.1,277,52372456.0,0.05,-0.04,-0.68,0.0
39,贵州茅台,600519,2022-09-01 14:20,1890.4,1891.49,1894.99,1890.4,347,65633243.0,0.24,0.06,1.09,0.0
40,贵州茅台,600519,2022-09-01 14:25,1891.49,1891.55,1891.6,1890.4,217,41031501.0,0.06,0.0,0.06,0.0
41,贵州茅台,600519,2022-09-01 14:30,1891.58,1890.6,1893.0,1890.55,346,65450784.0,0.13,-0.05,-0.95,0.0
42,贵州茅台,600519,2022-09-01 14:35,1890.6,1892.0,1892.99,1890.16,316,59741723.0,0.15,0.07,1.4,0.0
43,贵州茅台,600519,2022-09-01 14:40,1891.14,1890.1,1892.89,1890.0,498,94085683.0,0.15,-0.1,-1.9,0.0
44,贵州茅台,600519,2022-09-01 14:45,1890.09,1885.65,1891.15,1882.0,1403,264732053.0,0.48,-0.24,-4.45,0.01
45,贵州茅台,600519,2022-09-01 14:50,1888.07,1886.03,1888.07,1884.0,673,126894078.0,0.22,0.02,0.38,0.01
46,贵州茅台,600519,2022-09-01 14:55,1886.05,1883.7,1887.98,1883.0,1064,200461304.0,0.26,-0.12,-2.33,0.01
47,贵州茅台,600519,2022-09-01 15:00,1883.7,1880.89,1886.88,1880.89,1261,237384476.0,0.32,-0.15,-2.81,0.01
48,贵州茅台,600519,2022-09-02 09:35,1889.94,1884.95,1892.96,1881.0,1472,277819831.0,0.64,0.22,4.06,0.01
49,贵州茅台,600519,2022-09-02 09:40,1885.0,1884.0,1885.0,1878.04,554,104250405.0,0.37,-0.05,-0.95,0.0
50,贵州茅台,600519,2022-09-02 09:45,1884.0,1884.9,1887.99,1880.5,530,99819927.0,0.4,0.05,0.9,0.0
51,贵州茅台,600519,2022-09-02 09:50,1884.0,1880.55,1886.99,1880.55,435,81888787.0,0.34,-0.23,-4.35,0.0
52,贵州茅台,600519,2022-09-02 09:55,1880.56,1876.01,1883.71,1875.0,863,162123916.0,0.46,-0.24,-4.54,0.01
53,贵州茅台,600519,2022-09-02 10:00,1877.3,1877.83,1880.59,1876.0,358,67239642.0,0.24,0.1,1.82,0.0
54,贵州茅台,600519,2022-09-02 10:05,1877.81,1876.51,1879.82,1872.01,722,135437433.0,0.42,-0.07,-1.32,0.01
55,贵州茅台,600519,2022-09-02 10:10,1876.51,1874.39,1877.29,1873.22,346,64879766.0,0.22,-0.11,-2.12,0.0
56,贵州茅台,600519,2022-09-02 10:15,1874.39,1873.06,1874.39,1872.69,476,89170005.0,0.09,-0.07,-1.33,0.0
57,贵州茅台,600519,2022-09-02 10:20,1873.06,1868.97,1873.06,1867.01,1479,276546099.0,0.32,-0.22,-4.09,0.01
58,贵州茅台,600519,2022-09-02 10:25,1869.93,1872.6,1874.99,1868.04,647,121008051.0,0.37,0.19,3.63,0.01
59,贵州茅台,600519,2022-09-02 10:30,1872.6,1870.0,1872.79,1869.88,370,69216024.0,0.16,-0.14,-2.6,0.0
60,贵州茅台,600519,2022-09-02 10:35,1869.88,1870.43,1870.65,1868.23,348,65049871.0,0.13,0.02,0.43,0.0
61,贵州茅台,600519,2022-09-02 10:40,1870.43,1869.78,1870.43,1869.01,161,30103605.0,0.08,-0.03,-0.65,0.0
62,贵州茅台,600519,2022-09-02 10:45,1869.78,1872.08,1872.79,1869.78,171,32054877.0,0.16,0.12,2.3,0.0
63,贵州茅台,600519,2022-09-02 10:50,1872.08,1870.98,1872.68,1870.92,187,34999142.0,0.09,-0.06,-1.1,0.0
64,贵州茅台,600519,2022-09-02 10:55,1870.98,1873.23,1873.5,1870.98,165,30896437.0,0.13,0.12,2.25,0.0
65,贵州茅台,600519,2022-09-02 11:00,1873.24,1873.63,1876.27,1873.24,164,30746398.0,0.16,0.02,0.4,0.0
66,贵州茅台,600519,2022-09-02 11:05,1873.63,1873.03,1875.63,1872.34,196,36721756.0,0.18,-0.03,-0.6,0.0
67,贵州茅台,600519,2022-09-02 11:10,1873.63,1876.0,1877.87,1873.63,171,32094129.0,0.23,0.16,2.97,0.0
68,贵州茅台,600519,2022-09-02 11:15,1876.03,1873.75,1876.03,1873.0,178,33359567.0,0.16,-0.12,-2.25,0.0
69,贵州茅台,600519,2022-09-02 11:20,1873.75,1874.35,1878.0,1873.53,208,39009821.0,0.24,0.03,0.6,0.0
70,贵州茅台,600519,2022-09-02 11:25,1875.87,1874.27,1876.55,1874.27,161,30190968.0,0.12,0.0,-0.08,0.0
71,贵州茅台,600519,2022-09-02 11:30,1877.0,1876.58,1877.0,1873.75,171,32093238.0,0.17,0.12,2.31,0.0
72,贵州茅台,600519,2022-09-02 13:05,1874.59,1875.0,1877.98,1873.2,367,68801889.0,0.25,-0.08,-1.58,0.0
73,贵州茅台,600519,2022-09-02 13:10,1875.0,1875.99,1877.23,1872.8,167,31290967.0,0.24,0.05,0.99,0.0
74,贵州茅台,600519,2022-09-02 13:15,1875.98,1875.98,1877.97,1873.0,266,49902261.0,0.26,0.0,-0.01,0.0
75,贵州茅台,600519,2022-09-02 13:20,1875.98,1875.8,1877.72,1873.38,269,50453404.0,0.23,-0.01,-0.18,0.0
76,贵州茅台,600519,2022-09-02 13:25,1875.8,1873.1,1876.69,1873.1,219,41056012.0,0.19,-0.14,-2.7,0.0
77,贵州茅台,600519,2022-09-02 13:30,1873.12,1872.44,1875.63,1872.0,267,50016104.0,0.19,-0.04,-0.66,0.0
78,贵州茅台,600519,2022-09-02 13:35,1872.44,1873.03,1876.48,1872.34,283,53039652.0,0.22,0.03,0.59,0.0
79,贵州茅台,600519,2022-09-02 13:40,1873.03,1870.5,1873.04,1870.11,315,58975368.0,0.16,-0.14,-2.53,0.0
80,贵州茅台,600519,2022-09-02 13:45,1870.17,1871.03,1874.37,1870.12,306,57252961.0,0.23,0.03,0.53,0.0
81,贵州茅台,600519,2022-09-02 13:50,1871.03,1870.8,1872.4,1870.33,273,51071778.0,0.11,-0.01,-0.23,0.0
82,贵州茅台,600519,2022-09-02 13:55,1870.6,1870.23,1871.08,1870.21,236,44146276.0,0.05,-0.03,-0.57,0.0
83,贵州茅台,600519,2022-09-02 14:00,1870.18,1870.09,1870.49,1870.0,320,59842398.0,0.03,-0.01,-0.14,0.0
84,贵州茅台,600519,2022-09-02 14:05,1870.02,1868.3,1874.0,1868.3,616,115108253.0,0.3,-0.1,-1.79,0.0
