,ts_code,name
0,000001.SZ,平安银行
1,000002.SZ,万科A
2,000004.SZ,ST国华
3,000005.SZ,ST星源
4,000006.SZ,深振业A
5,000007.SZ,全新好
6,000008.SZ,神州高铁
7,000009.SZ,中国宝安
8,000010.SZ,美丽生态
9,000011.SZ,深物业A
10,000012.SZ,南玻A
11,000014.SZ,沙河股份
12,000016.SZ,深康佳A
13,000017.SZ,深中华A
14,000019.SZ,深粮控股
15,000020.SZ,深华发A
16,000021.SZ,深科技
17,000023.SZ,深天地A
18,000025.SZ,特力A
19,000026.SZ,飞亚达
20,000027.SZ,深圳能源
21,000028.SZ,国药一致
22,000029.SZ,深深房A
23,000030.SZ,富奥股份
24,000031.SZ,大悦城
25,000032.SZ,深桑达A
26,000034.SZ,神州数码
27,000035.SZ,中国天楹
28,000036.SZ,华联控股
29,000037.SZ,深南电A
30,000038.SZ,*ST大通
31,000039.SZ,中集集团
32,000040.SZ,东旭蓝天
33,000042.SZ,中洲控股
34,000045.SZ,深纺织A
35,000046.SZ,泛海控股
36,000048.SZ,京基智农
37,000049.SZ,德赛电池
38,000050.SZ,深天马A
39,000055.SZ,方大集团
40,000056.SZ,皇庭国际
41,000058.SZ,深赛格
42,000059.SZ,华锦股份
43,000060.SZ,中金岭南
44,000061.SZ,农产品
45,000062.SZ,深圳华强
46,000063.SZ,中兴通讯
47,000065.SZ,北方国际
48,000066.SZ,中国长城
49,000068.SZ,华控赛格
50,000069.SZ,华侨城A
51,000070.SZ,特发信息
52,000078.SZ,海王生物
53,000088.SZ,盐田港
54,000089.SZ,深圳机场
55,000090.SZ,天健集团
56,000096.SZ,广聚能源
57,000099.SZ,中信海直
58,000100.SZ,TCL科技
59,000150.SZ,*ST宜康
60,000151.SZ,中成股份
61,000153.SZ,丰原药业
62,000155.SZ,川能动力
63,000156.SZ,华数传媒
64,000157.SZ,中联重科
65,000158.SZ,常山北明
66,000159.SZ,国际实业
67,000166.SZ,申万宏源
68,000301.SZ,东方盛虹
69,000333.SZ,美的集团
70,000338.SZ,潍柴动力
71,000400.SZ,许继电气
72,000401.SZ,冀东水泥
73,000402.SZ,金融街
74,000403.SZ,派林生物
75,000404.SZ,长虹华意
76,000407.SZ,胜利股份
77,000408.SZ,藏格矿业
78,000409.SZ,云鼎科技
79,000410.SZ,*ST沈机
80,000411.SZ,英特集团
81,000413.SZ,东旭光电
82,000415.SZ,渤海租赁
83,000416.SZ,民生控股
84,000417.SZ,合肥百货
85,000419.SZ,通程控股
86,000420.SZ,吉林化纤
87,000421.SZ,南京公用
88,000422.SZ,湖北宜化
89,000423.SZ,东阿阿胶
90,000425.SZ,徐工机械
91,000426.SZ,兴业矿业
92,000428.SZ,华天酒店
93,000429.SZ,粤高速A
94,000430.SZ,张家界
95,000488.SZ,晨鸣纸业
96,000498.SZ,山东路桥
97,000501.SZ,武商集团
98,000503.SZ,国新健康
99,000504.SZ,南华生物
100,000505.SZ,京粮控股
101,000506.SZ,中润资源
102,000507.SZ,珠海港
103,000509.SZ,华塑控股
104,000510.SZ,新金路
105,000513.SZ,丽珠集团
106,000514.SZ,渝开发
107,000516.SZ,国际医学
108,000517.SZ,荣安地产
109,000518.SZ,四环生物
110,000519.SZ,中兵红箭
111,000520.SZ,长航凤凰
112,000521.SZ,长虹美菱
113,000523.SZ,广州浪奇
114,000524.SZ,岭南控股
115,000525.SZ,ST红太阳
116,000526.SZ,学大教育
117,000528.SZ,柳工
118,000529.SZ,广弘控股
119,000530.SZ,冰山冷热
120,000531.SZ,穗恒运A
121,000532.SZ,华金资本
122,000533.SZ,顺钠股份
123,000534.SZ,万泽股份
124,000536.SZ,华映科技
125,000537.SZ,广宇发展
126,000538.SZ,云南白药
127,000539.SZ,粤电力A
128,000540.SZ,中天金融
129,000541.SZ,佛山照明
130,000543.SZ,皖能电力
131,000544.SZ,中原环保
132,000545.SZ,金浦钛业
133,000546.SZ,金圆股份
134,000547.SZ,航天发展
135,000548.SZ,湖南投资
136,000550.SZ,江铃汽车
137,000551.SZ,创元科技
138,000552.SZ,靖远煤电
139,000553.SZ,安道麦A
140,000554.SZ,泰山石油
141,000555.SZ,神州信息
142,000557.SZ,西部创业
143,000558.SZ,莱茵体育
