,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,upper,middle,lower,rsi
28,600546.SH,20220425,12.49,12.74,12.07,12.07,13.41,-1.34,-9.9925,528680.07,643436.569,,,,
27,600546.SH,20220426,11.83,11.85,10.86,11.08,12.07,-0.99,-8.2022,955310.43,1063650.482,,,,
26,600546.SH,20220427,11.17,12.16,11.16,12.15,11.08,1.07,9.657,646344.02,753707.622,,,,
25,600546.SH,20220428,12.2,13.31,12.16,13.28,12.15,1.13,9.3004,738817.66,948458.036,,,,
24,600546.SH,20220429,13.44,14.05,12.94,14.05,13.28,0.77,5.7982,801528.03,1080619.64,,,,
23,600546.SH,20220505,14.35,14.35,13.61,13.82,14.05,-0.23,-1.637,1047392.26,1455533.537,,,,
22,600546.SH,20220506,13.42,14.85,13.37,14.11,13.82,0.29,2.0984,828435.82,1180216.409,,,,72.76785714285712
21,600546.SH,20220509,13.97,13.97,13.18,13.74,14.11,-0.37,-2.6223,636717.1,866676.864,,,,66.20633631194151
20,600546.SH,20220510,13.21,13.62,12.75,13.29,13.74,-0.45,-3.2751,693979.95,913128.427,,,,58.506819813352465
19,600546.SH,20220511,13.25,14.38,13.15,14.27,13.29,0.98,7.374,747834.44,1037724.196,,,,68.17811447069964
18,600546.SH,20220512,14.5,14.64,13.49,13.69,14.27,-0.58,-4.0645,892991.47,1251503.918,,,,58.49510068813319
17,600546.SH,20220513,13.6,14.23,13.34,13.94,13.69,0.25,1.8262,656117.14,912875.136,,,,61.33545018991864
16,600546.SH,20220516,14.11,14.84,14.0,14.82,13.94,0.88,6.3128,889697.88,1288430.434,,,,70.00575339865065
15,600546.SH,20220517,14.72,15.05,14.43,14.99,14.82,0.17,1.1471,778697.76,1151344.405,,,,71.48792227411465
14,600546.SH,20220518,14.88,15.2,14.48,14.54,14.99,-0.45,-3.002,534513.7,786029.275,,,,61.789149450770395
13,600546.SH,20220519,14.2,14.82,14.08,14.75,14.54,0.21,1.4443,555167.2,800226.33,,,,64.48724025750803
12,600546.SH,20220520,14.79,15.95,14.79,15.85,14.75,1.1,7.4576,845291.53,1305954.573,,,,75.40391688126932
11,600546.SH,20220523,15.92,16.34,15.52,15.92,15.85,0.07,0.4416,771258.38,1228842.16,,,,75.96805004880149
10,600546.SH,20220524,15.77,16.39,15.4,15.45,15.92,-0.47,-2.9523,642964.14,1024690.447,,,,64.11900108562814
9,600546.SH,20220525,15.7,16.15,15.16,16.11,15.45,0.66,4.2718,698739.8,1094935.252,16.66385046293589,14.095999999999998,11.528149537064106,71.5869003788707
8,600546.SH,20220526,16.11,17.72,15.95,17.4,16.11,1.29,8.0074,1107129.65,1873089.339,17.13235829962474,14.362499999999997,11.592641700375253,80.9072100624188
7,600546.SH,20220527,17.41,18.15,17.06,17.61,17.4,0.21,1.2069,852416.18,1504797.258,17.37228082764364,14.688999999999998,12.005719172356358,82.05699779252359
6,600546.SH,20220530,17.8,18.32,17.19,18.31,17.61,0.7,3.975,679934.63,1204351.339,17.85244462387202,14.997,12.14155537612798,85.54014742607217
5,600546.SH,20220531,18.06,18.2,17.55,17.94,18.31,-0.37,-2.0208,599015.06,1066081.006,18.243144536858402,15.23,12.2168554631416,76.1623223136611
4,600546.SH,20220601,17.75,19.73,17.51,19.5,17.94,1.56,8.6957,793890.81,1462093.738,18.988201507587743,15.502500000000001,12.01679849241226,84.66706967801161
3,600546.SH,20220602,17.58,17.58,16.16,16.27,17.93,-1.66,-9.2582,861220.49,1432841.267,19.0369994138334,15.625,12.2130005861666,44.88157642385924
2,600546.SH,20220606,16.44,17.9,16.44,17.9,16.27,1.63,10.0184,825391.42,1422014.96,19.289291936217133,15.814499999999999,12.339708063782865,57.09165173471351
1,600546.SH,20220607,17.98,19.45,17.47,18.84,17.9,0.94,5.2514,849549.34,1575807.949,19.644985841113026,16.069499999999998,12.49401415888697,62.795164735595996
0,600546.SH,20220608,19.19,19.85,18.75,19.69,18.84,0.85,4.5117,854175.45,1648349.688,20.057057634175656,16.389499999999995,12.721942365824331,67.48499176593697
