,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,upper,middle,lower,rsi,rsi_var = ,low-lowboll,high-highboll, high-mid,mid-low,close-open,,yes_close-mid,,mid-close
52,600073.SH,20220324,7.23,7.27,7.15,7.15,7.24,-0.09,-1.2431,47610.31,34276.813,7.781926772,7.2545,6.727073228,49.04113491,#REF!,0.422926772,-0.511926772,0.0155,0.1045,-0.08,,,,
51,600073.SH,20220325,7.2,7.34,7.16,7.26,7.15,0.11,1.5385,75112.65,54644.541,7.763478805,7.2445,6.725521195,57.300888,0.168424999,0.434478805,-0.423478805,0.0955,0.0845,0.06,Âò,-0.0945,,-0.0155
50,600073.SH,20220328,7.56,7.8,7.4,7.59,7.26,0.33,4.5455,270566.02,204388.843,7.787359795,7.2525,6.717640205,73.03518318,0.274590774,0.682359795,0.012640205,0.5475,-0.1475,0.03,,0.0075,,-0.3375
49,600073.SH,20220329,7.54,7.68,7.48,7.58,7.59,-0.01,-0.1318,196582.08,149427.606,7.787359795,7.2525,6.717640205,72.06947235,-0.013222543,0.762359795,-0.107359795,0.4275,-0.2275,0.04,,0.3375,,-0.3275
48,600073.SH,20220330,7.48,7.54,7.37,7.4,7.58,-0.18,-2.3747,143164.39,106320.002,7.754267979,7.2415,6.728732021,56.0587153,-0.222157268,0.641267979,-0.214267979,0.2985,-0.1285,-0.08,Âô,0.3385,,-0.1585
47,600073.SH,20220331,7.39,7.48,7.34,7.41,7.4,0.01,0.1351,88212.48,65324.642,7.720403719,7.231,6.741596281,56.70000914,0.011439681,0.598403719,-0.240403719,0.249,-0.109,0.02,,0.169,,-0.179
46,600073.SH,20220401,7.38,7.52,7.38,7.44,7.41,0.03,0.4049,105055.17,78099.584,7.686312866,7.2215,6.756687134,58.86141427,0.038120014,0.623312866,-0.166312866,0.2985,-0.1585,0.06,,0.1885,,-0.2185
45,600073.SH,20220406,7.58,7.73,7.55,7.59,7.44,0.15,2.0161,168412.78,128400.294,7.699699905,7.225,6.750300095,68.3428052,0.161079903,0.799699905,0.030300095,0.505,-0.325,0.01,,0.215,,-0.365
44,600073.SH,20220407,7.6,7.64,7.34,7.34,7.59,-0.25,-3.2938,105971.99,79203.571,7.708321694,7.231,6.753678306,46.77974003,-0.315513317,0.586321694,-0.068321694,0.409,-0.109,-0.26,,0.359,,-0.109
43,600073.SH,20220408,7.36,7.39,7.16,7.21,7.34,-0.13,-1.7711,110962.75,80302.155,7.707129681,7.2415,6.775870319,39.08472689,-0.164494568,0.384129681,-0.317129681,0.1485,0.0815,-0.15,,0.0985,,0.0315
42,600073.SH,20220411,7.36,7.93,7.3,7.93,7.21,0.72,9.9861,736950.86,579525.923,7.830296894,7.2765,6.722703106,70.89927507,0.813989267,0.577296894,0.099703106,0.6535,-0.0235,0.57,Âò,-0.0665,,-0.6535
